time_s,marker,kind,responded_correctly
2.0,baseline/open/start,,
12.0,baseline/open/end,,
13.0,baseline/closed/start,,
23.0,baseline/closed/end,,
25.0,avsync/countdown/exp2/visual/task_onset,,
30.0,visual/trial_start/b1_1,,
30.25,visual/cue/R,visual_cue,
31.45,visual/target/R,visual_target,
32.031,visual/response/space,space_response,True
32.15,visual/trial_end/b1_1,,
32.8,visual/trial_start/b1_2,,
33.05,visual/cue/L,visual_cue,
34.25,visual/target/L,visual_target,
34.859,visual/response/space,space_response,True
34.95,visual/trial_end/b1_2,,
35.6,visual/trial_start/b1_3,,
35.85,visual/cue/L,visual_cue,
37.05,visual/target/L,visual_target,
37.585,visual/response/space,space_response,True
37.75,visual/trial_end/b1_3,,
38.4,visual/trial_start/b1_4,,
38.65,visual/cue/R,visual_cue,
39.85,visual/target/R,visual_target,
40.266,visual/response/space,space_response,True
40.55,visual/trial_end/b1_4,,
41.2,visual/trial_start/b1_5,,
41.45,visual/cue/R,visual_cue,
42.65,visual/target/R,visual_target,
43.169,visual/response/space,space_response,True
43.35,visual/trial_end/b1_5,,
44.0,visual/trial_start/b1_6,,
44.25,visual/cue/R,visual_cue,
45.45,visual/target/R,visual_target,
46.137,visual/response/space,space_response,True
46.15,visual/trial_end/b1_6,,
46.8,visual/trial_start/b1_7,,
47.05,visual/cue/L,visual_cue,
48.25,visual/target/L,visual_target,
48.95,visual/trial_end/b1_7,,
49.6,visual/trial_start/b1_8,,
49.85,visual/cue/L,visual_cue,
51.05,visual/target/L,visual_target,
51.588,visual/response/space,space_response,True
51.75,visual/trial_end/b1_8,,
52.4,visual/trial_start/b1_9,,
52.65,visual/cue/R,visual_cue,
53.85,visual/target/R,visual_target,
54.544,visual/response/space,space_response,True
54.55,visual/trial_end/b1_9,,
55.2,visual/trial_start/b1_10,,
55.45,visual/cue/R,visual_cue,
56.65,visual/target/R,visual_target,
57.35,visual/trial_end/b1_10,,
57.399,visual/response/space,space_response,True
58.0,visual/trial_start/b1_11,,
58.25,visual/cue/L,visual_cue,
59.45,visual/target/L,visual_target,
60.069,visual/response/space,space_response,True
60.15,visual/trial_end/b1_11,,
60.8,visual/trial_start/b1_12,,
61.05,visual/cue/L,visual_cue,
62.25,visual/target/L,visual_target,
62.816,visual/response/space,space_response,True
62.95,visual/trial_end/b1_12,,
63.6,visual/trial_start/b1_13,,
63.85,visual/cue/R,visual_cue,
64.35,visual/response/space,space_response,False
65.05,visual/target/R,visual_target,
65.484,visual/response/space,space_response,True
65.75,visual/trial_end/b1_13,,
66.4,visual/trial_start/b1_14,,
66.65,visual/cue/L,visual_cue,
67.85,visual/target/L,visual_target,
68.425,visual/response/space,space_response,True
68.55,visual/trial_end/b1_14,,
69.2,visual/trial_start/b1_15,,
69.45,visual/cue/R,visual_cue,
70.65,visual/target/R,visual_target,
71.09,visual/response/space,space_response,True
71.35,visual/trial_end/b1_15,,
72.0,visual/trial_start/b1_16,,
72.25,visual/cue/L,visual_cue,
73.45,visual/target/L,visual_target,
74.032,visual/response/space,space_response,True
74.15,visual/trial_end/b1_16,,
74.8,visual/trial_start/b1_17,,
75.05,visual/cue/R,visual_cue,
76.25,visual/target/R,visual_target,
76.838,visual/response/space,space_response,True
76.95,visual/trial_end/b1_17,,
77.6,visual/trial_start/b1_18,,
77.85,visual/cue/L,visual_cue,
79.05,visual/target/L,visual_target,
79.66,visual/response/space,space_response,True
79.75,visual/trial_end/b1_18,,
80.4,visual/trial_start/b1_19,,
80.65,visual/cue/R,visual_cue,
81.85,visual/target/R,visual_target,
82.436,visual/response/space,space_response,True
82.55,visual/trial_end/b1_19,,
83.2,visual/trial_start/b1_20,,
83.45,visual/cue/L,visual_cue,
84.65,visual/target/L,visual_target,
85.259,visual/response/space,space_response,True
85.35,visual/trial_end/b1_20,,
87.0,audio2/block_start/attL/b1,,
88.0,audio2/event/R/std,audio_event,False
88.85,audio2/event/L/std,audio_event,False
89.7,audio2/event/R/std,audio_event,False
90.55,audio2/event/L/tgt,audio_event,True
91.044,audio2/response/space,space_response,True
91.4,audio2/event/R/std,audio_event,False
92.25,audio2/event/R/std,audio_event,False
93.1,audio2/event/R/tgt,audio_event,False
93.95,audio2/event/R/std,audio_event,False
94.8,audio2/event/L/std,audio_event,False
95.65,audio2/event/L/tgt,audio_event,True
96.208,audio2/response/space,space_response,True
96.5,audio2/event/R/std,audio_event,False
97.35,audio2/event/L/std,audio_event,False
98.2,audio2/event/L/std,audio_event,False
99.05,audio2/event/L/std,audio_event,False
99.9,audio2/event/L/std,audio_event,False
100.75,audio2/event/L/tgt,audio_event,True
101.247,audio2/response/space,space_response,True
101.6,audio2/event/L/std,audio_event,False
102.45,audio2/event/L/std,audio_event,False
103.3,audio2/event/R/tgt,audio_event,False
104.15,audio2/event/L/std,audio_event,False
105.0,audio2/event/L/std,audio_event,False
105.85,audio2/event/L/tgt,audio_event,True
106.397,audio2/response/space,space_response,True
106.7,audio2/event/R/std,audio_event,False
107.55,audio2/event/R/std,audio_event,False
108.4,audio2/event/L/std,audio_event,False
109.25,audio2/event/R/std,audio_event,False
110.1,audio2/event/L/std,audio_event,False
110.95,audio2/event/L/tgt,audio_event,True
111.25,audio2/response/space,space_response,True
111.8,audio2/event/L/std,audio_event,False
112.65,audio2/event/R/std,audio_event,False
113.5,audio2/event/R/tgt,audio_event,False
114.35,audio2/event/L/std,audio_event,False
115.2,audio2/event/R/std,audio_event,False
116.05,audio2/event/L/tgt,audio_event,True
116.526,audio2/response/space,space_response,True
116.9,audio2/event/R/std,audio_event,False
117.75,audio2/event/L/std,audio_event,False
119.6,exp/end,,
