participant,recording_public_id,alpha_low_hz,alpha_high_hz,alpha_band_hz,trial_id,block,cue_index,cue_side,had_change,target_side,hit,miss,correct_rejection,behavior_correct,cue_time_rel_s,excluded_ocular,rejected_amplitude,included,analysis,window,PO7_alpha_db,PO8_alpha_db,OZ_alpha_db,PZ_alpha_db,contra_channel,ipsi_channel,contra_alpha_db,ipsi_alpha_db,contra_minus_ipsi_db,po8_minus_po7_db
Participante 1,P01_run01_full,8.0,12.0,8.00-12.00,b1_1,1,0,R,True,R,True,False,False,True,161.01499342021998,False,False,True,cue_locked,cue_0p3_1p2,-3.035211268141882,-1.652647410188456,-1.5884596627005778,-0.8227292358372106,PO7,PO8,-3.035211268141882,-1.652647410188456,-1.3825638579534258,1.3825638579534258
Participante 1,P01_run01_full,8.0,12.0,8.00-12.00,b1_1,1,0,R,True,R,True,False,False,True,161.01499342021998,False,False,True,cue_locked,cue_0p5_1p2,-3.725028465403088,-5.716783927298699,-3.6829805938877382,-0.9286607509248578,PO7,PO8,-3.725028465403088,-5.716783927298699,1.9917554618956104,-1.9917554618956104
Participante 1,P01_run01_full,8.0,12.0,8.00-12.00,b1_1,1,0,R,True,R,True,False,False,True,161.01499342021998,False,False,True,cue_locked,cue_0p5_1p9,-3.828419236492089,-4.08451617034702,-3.1729885453643343,-0.2506648940948954,PO7,PO8,-3.828419236492089,-4.08451617034702,0.256096933854931,-0.256096933854931
Participante 1,P01_run01_full,8.0,12.0,8.00-12.00,b1_1,1,0,R,True,R,True,False,False,True,161.01499342021998,False,False,True,cue_locked,cue_1p3_2p1_target_interval,-4.987675994280841,-3.5410055824126823,-3.262415073917281,-0.4728318190037556,PO7,PO8,-4.987675994280841,-3.5410055824126823,-1.4466704118681588,1.4466704118681588
Participante 1,P01_run01_full,8.0,12.0,8.00-12.00,b1_2,1,1,R,False,,False,False,True,True,165.18107270007022,False,False,True,cue_locked,cue_0p3_1p2,-2.546854117781124,-6.103024825539415,-3.100739487537375,-1.8296993581786245,PO7,PO8,-2.546854117781124,-6.103024825539415,3.556170707758292,-3.556170707758292
Participante 1,P01_run01_full,8.0,12.0,8.00-12.00,b1_2,1,1,R,False,,False,False,True,True,165.18107270007022,False,False,True,cue_locked,cue_0p5_1p2,-6.76604294907087,-7.664120882156546,-4.792276524887871,-2.7539993894511223,PO7,PO8,-6.76604294907087,-7.664120882156546,0.8980779330856761,-0.8980779330856761
Participante 1,P01_run01_full,8.0,12.0,8.00-12.00,b1_2,1,1,R,False,,False,False,True,True,165.18107270007022,False,False,True,cue_locked,cue_0p5_1p9,-5.074528413274752,-4.363582926332955,-3.5629662232838704,-3.222572369475901,PO7,PO8,-5.074528413274752,-4.363582926332955,-0.7109454869417968,0.7109454869417968
Participante 1,P01_run01_full,8.0,12.0,8.00-12.00,b1_2,1,1,R,False,,False,False,True,True,165.18107270007022,False,False,True,cue_locked,cue_1p3_2p1_target_interval,-3.813860979099096,-2.500561794520242,-2.852721967543687,-5.113981912938065,PO7,PO8,-3.813860979099096,-2.500561794520242,-1.3132991845788538,1.3132991845788538
Participante 1,P01_run01_full,8.0,12.0,8.00-12.00,b1_3,1,2,L,True,L,True,False,False,True,169.33107738010585,False,False,True,cue_locked,cue_0p3_1p2,0.4249511712053197,-2.2601300999937446,0.623429895537547,6.546396426444348,PO8,PO7,-2.2601300999937446,0.4249511712053197,-2.6850812711990644,-2.6850812711990644
Participante 1,P01_run01_full,8.0,12.0,8.00-12.00,b1_3,1,2,L,True,L,True,False,False,True,169.33107738010585,False,False,True,cue_locked,cue_0p5_1p2,0.4784830629072333,-3.3103314134559216,0.7849459916986506,6.462416257972161,PO8,PO7,-3.3103314134559216,0.4784830629072333,-3.788814476363155,-3.788814476363155
Participante 1,P01_run01_full,8.0,12.0,8.00-12.00,b1_3,1,2,L,True,L,True,False,False,True,169.33107738010585,False,False,True,cue_locked,cue_0p5_1p9,0.557392576154087,-3.58761947936033,0.3831771100648453,4.707305139260523,PO8,PO7,-3.58761947936033,0.557392576154087,-4.145012055514417,-4.145012055514417
Participante 1,P01_run01_full,8.0,12.0,8.00-12.00,b1_3,1,2,L,True,L,True,False,False,True,169.33107738010585,False,False,True,cue_locked,cue_1p3_2p1_target_interval,0.8713890750685848,-5.891862190313595,0.513977624150168,-0.9411153821210628,PO8,PO7,-5.891862190313595,0.8713890750685848,-6.76325126538218,-6.76325126538218
Participante 1,P01_run01_full,8.0,12.0,8.00-12.00,b1_4,1,3,R,True,R,True,False,False,True,173.53051175968722,False,False,True,cue_locked,cue_0p3_1p2,2.103254665586363,2.8577028068806087,3.1162130781300807,2.0021895277099238,PO7,PO8,2.103254665586363,2.8577028068806087,-0.7544481412942456,0.7544481412942456
Participante 1,P01_run01_full,8.0,12.0,8.00-12.00,b1_4,1,3,R,True,R,True,False,False,True,173.53051175968722,False,False,True,cue_locked,cue_0p5_1p2,2.678332106291516,2.703723260127036,3.277760803884013,1.9000724050048488,PO7,PO8,2.678332106291516,2.703723260127036,-0.0253911538355193,0.0253911538355193
Participante 1,P01_run01_full,8.0,12.0,8.00-12.00,b1_4,1,3,R,True,R,True,False,False,True,173.53051175968722,False,False,True,cue_locked,cue_0p5_1p9,2.6853881593570925,3.844271026726045,3.946974276478808,2.1548430922086057,PO7,PO8,2.6853881593570925,3.844271026726045,-1.1588828673689529,1.1588828673689529
Participante 1,P01_run01_full,8.0,12.0,8.00-12.00,b1_4,1,3,R,True,R,True,False,False,True,173.53051175968722,False,False,True,cue_locked,cue_1p3_2p1_target_interval,2.423421057483056,3.159981420761942,3.4192845863451904,0.8993139425553176,PO7,PO8,2.423421057483056,3.159981420761942,-0.736560363278886,0.736560363278886
Participante 1,P01_run01_full,8.0,12.0,8.00-12.00,b1_5,1,4,L,True,L,True,False,False,True,177.72972243931144,False,False,True,cue_locked,cue_0p3_1p2,0.7543170571226908,4.176844933207107,0.7986332210417318,1.4219822808480334,PO8,PO7,4.176844933207107,0.7543170571226908,3.422527876084416,3.422527876084416
Participante 1,P01_run01_full,8.0,12.0,8.00-12.00,b1_5,1,4,L,True,L,True,False,False,True,177.72972243931144,False,False,True,cue_locked,cue_0p5_1p2,-0.0366629166098435,3.36851761051622,0.7823103219117342,1.7646959625180143,PO8,PO7,3.36851761051622,-0.0366629166098435,3.405180527126064,3.405180527126064
Participante 1,P01_run01_full,8.0,12.0,8.00-12.00,b1_5,1,4,L,True,L,True,False,False,True,177.72972243931144,False,False,True,cue_locked,cue_0p5_1p9,4.4242016183884,3.539989822582803,1.953896416911804,1.0939924852666745,PO8,PO7,3.539989822582803,4.4242016183884,-0.8842117958055971,-0.8842117958055971
Participante 1,P01_run01_full,8.0,12.0,8.00-12.00,b1_5,1,4,L,True,L,True,False,False,True,177.72972243931144,False,False,True,cue_locked,cue_1p3_2p1_target_interval,5.804675074614522,3.128828778212634,2.2253127411037705,-1.3856606091380388,PO8,PO7,3.128828778212634,5.804675074614522,-2.6758462964018883,-2.6758462964018883
Participante 1,P01_run01_full,8.0,12.0,8.00-12.00,b1_6,1,5,L,False,,False,False,True,True,181.9295591190457,False,True,False,cue_locked,cue_0p3_1p2,-4.297829994345708,3.290679843014809,0.0540389060760546,-2.809086502108642,PO8,PO7,3.290679843014809,-4.297829994345708,7.588509837360517,7.588509837360517
