task_id,participant,recording_public_id,modality,module,window,contrast,positive_label,negative_label,n,n_positive,n_negative,n_splits,accuracy,balanced_accuracy,ba_ci_low,ba_ci_high,permutation_mean_balanced_accuracy,permutation_p_value,p_source,n_permutations,n_bootstrap
visual__Participante con NAION,Participante con NAION,P03_NAION_run01_visual,visual,visual,cue_0p5_1p2,visual_alpha_cue_left_vs_right,cue_right,cue_left,30,17,13,5,0.5666666666666667,0.5723981900452488,0.3957579185520363,0.746606334841629,0.49915407239819,0.2840715928407159,computed,10000,5000
visual__Participante 1,Participante 1,P01_run01_full,visual,visual,cue_0p5_1p2,visual_alpha_cue_left_vs_right,cue_right,cue_left,34,16,18,5,0.2647058823529412,0.2638888888888889,0.1180555555555555,0.4131944444444444,0.4987114583333333,0.983001699830017,computed,10000,5000
visual__Participante 2,Participante 2,P02_run01_visual_audio2,visual,visual,cue_0p5_1p2,visual_alpha_cue_left_vs_right,cue_right,cue_left,39,19,20,5,0.3846153846153846,0.3842105263157894,0.2302631578947368,0.5381578947368422,0.4999861842105263,0.8819118088191181,computed,10000,5000
auditory_main__Participante 1__audio2,Participante 1,P01_run01_full,auditory,audio2,p300_250_600,auditory_main_attended_targets_vs_ignored_targets,target_atendido_hit_or_miss,target_ignorado,193,97,96,5,0.533678756476684,0.533666237113402,0.4661189862542955,0.6059922680412371,,0.2356764323567643,reused_auditory_main_10000perm,10000,5000
auditory_secondary__Participante 1__audio2,Participante 1,P01_run01_full,auditory,audio2,p300_250_600,auditory_secondary_target_hit_vs_standard,target_atendido_hit,standard,1306,64,1242,5,0.6209800918836141,0.4895078502415459,0.4311952747584541,0.5472524154589372,0.5002041867954912,0.6217378262173783,computed,10000,5000
auditory_main__Participante 1__audio4,Participante 1,P01_run01_full,auditory,audio4,p300_250_600,auditory_main_attended_targets_vs_ignored_targets,target_atendido_hit_or_miss,target_ignorado,126,25,101,5,0.6190476190476191,0.5516831683168317,0.441980198019802,0.656935643564355,,0.2475752424757524,reused_auditory_main_10000perm,10000,5000
auditory_secondary__Participante 1__audio4,Participante 1,P01_run01_full,auditory,audio4,p300_250_600,auditory_secondary_target_hit_vs_standard,target_atendido_hit,standard,841,10,831,5,0.7645659928656362,0.6338748495788207,0.4802496991576414,0.7874849578820697,0.4989527858002407,0.0702929707029297,computed,10000,5000
auditory_main__Participante 2__audio2,Participante 2,P02_run01_visual_audio2,auditory,audio2,p300_250_600,auditory_main_attended_targets_vs_ignored_targets,target_atendido_hit_or_miss,target_ignorado,154,77,77,5,0.474025974025974,0.474025974025974,0.3961038961038961,0.551948051948052,,0.7255274472552745,reused_auditory_main_10000perm,10000,5000
auditory_secondary__Participante 2__audio2,Participante 2,P02_run01_visual_audio2,auditory,audio2,p300_250_600,auditory_secondary_target_hit_vs_standard,target_atendido_hit,standard,1031,52,979,5,0.5567410281280311,0.5480867447159582,0.4781286831146382,0.6174395478117388,0.4995891559283413,0.1341865813418658,computed,10000,5000
auditory_main__Participante 2__audio4,Participante 2,P02_run02_audio4,auditory,audio4,p300_250_600,auditory_main_attended_targets_vs_ignored_targets,target_atendido_hit_or_miss,target_ignorado,125,35,90,5,0.624,0.5642857142857143,0.4722222222222222,0.6579365079365079,,0.1388861113888611,reused_auditory_main_10000perm,10000,5000
auditory_secondary__Participante 2__audio4,Participante 2,P02_run02_audio4,auditory,audio4,p300_250_600,auditory_secondary_target_hit_vs_standard,target_atendido_hit,standard,865,30,835,5,0.6335260115606937,0.5370259481037924,0.4466042914171656,0.6263597804391215,0.5002117864271457,0.2561743825617438,computed,10000,5000
auditory_main__Participante con NAION__audio2,Participante con NAION,P03_NAION_run02_audio_repeat,auditory,audio2,p300_250_600,auditory_main_attended_targets_vs_ignored_targets,target_atendido_hit_or_miss,target_ignorado,201,102,99,5,0.5373134328358209,0.5374331550802138,0.4719251336898395,0.602651515151515,,0.2023797620237976,reused_auditory_main_10000perm,10000,5000
auditory_secondary__Participante con NAION__audio2,Participante con NAION,P03_NAION_run02_audio_repeat,auditory,audio2,p300_250_600,auditory_secondary_target_hit_vs_standard,target_atendido_hit,standard,1289,50,1239,5,0.6516679596586501,0.607683615819209,0.5377701775625505,0.6744552058111379,0.5004167384987893,0.0063993600639936,computed,10000,5000
auditory_main__Participante con NAION__audio4,Participante con NAION,P03_NAION_run02_audio_repeat,auditory,audio4,p300_250_600,auditory_main_attended_targets_vs_ignored_targets,target_atendido_hit_or_miss,target_ignorado,126,31,95,5,0.5555555555555556,0.5205432937181663,0.4237606112054329,0.6222410865874364,,0.4058594140585941,reused_auditory_main_10000perm,10000,5000
auditory_secondary__Participante con NAION__audio4,Participante con NAION,P03_NAION_run02_audio_repeat,auditory,audio4,p300_250_600,auditory_secondary_target_hit_vs_standard,target_atendido_hit,standard,841,12,829,5,0.7942925089179548,0.7314032971451547,0.5967531162042622,0.858815842380378,0.4998077804583836,0.001999800019998,computed,10000,5000
